WORD_CLEAN,WORD_FIXATION_COUNT,WORD_FIXATION_%,WORD_GAZE_DURATION,WORD_FIRST_FIXATION_DURATION,WORD_SECOND_FIXATION_DURATION,WORD_THIRD_FIXATION_DURATION,WORD_TOTAL_READING_TIME,WORD_TOTAL_READING_TIME_%,WORD_SKIP,WORD_SPILLOVER,WORD_RUN_COUNT
crumpled,0.857142857,0.01175,143.2857143,143.2857143,0,0,143.2857143,0.009185714,0.142857143,121.7857143,0.857142857
crushed,1.230769231,0.013633242,182.4313187,167.2005495,49.02472527,16.88461538,242.6868132,0.013057143,0.186813187,96.81043956,1.076923077
cry,0.538461538,0.006806044,98.29761905,98.29761905,5.515567766,0,103.8131868,0.006210806,0.595238095,15.55677656,0.538461538
crying,1.107142857,0.012859753,181.2760989,155.8612637,44.62362637,9.232142857,209.717033,0.011930907,0.361263736,38.25412088,0.927197802
cryptic,1.142857143,0.012617857,220,195.6071429,56.21428571,11.25,278.6785714,0.014532143,0.357142857,80.64285714,1
crystalline,1.307692308,0.0145,269.3076923,208.3076923,76.53846154,0,284.8461538,0.0145,0,145.7692308,1.076923077
crystals,1.153846154,0.012561538,220.7692308,215.7692308,41,0,256.7692308,0.013307692,0.076923077,8.923076923,1.076923077
cultivated,1.538461538,0.021630769,283.1538462,244.1538462,88.69230769,18.23076923,351.0769231,0.023138462,0.076923077,31.61538462,1.307692308
cumulative,1.857142857,0.022507143,283.1071429,225.1428571,74.07142857,31.92857143,375.3928571,0.022535714,0.107142857,81.35714286,1.321428571
cunningly,1.285714286,0.015435714,260.5714286,260.5714286,71.57142857,7,339.1428571,0.019135714,0.071428571,120.2142857,1.214285714
cup,0.623321123,0.008139103,107.7417582,99.47588523,17.98809524,0,117.4639805,0.00728083,0.604700855,19.61935287,0.571733822
cupboard,1.313186813,0.016639766,227.7554945,198.9065934,60.50961538,16.79807692,280.9910714,0.017061126,0.279532967,30.86607143,1.105769231
cups,0.775641026,0.012208425,152.9130037,145.1932234,26.27472527,0,171.4679487,0.012614377,0.40018315,54.82783883,0.738095238
cure,1.357142857,0.018928571,261.6428571,212.2857143,46.28571429,39.5,298.0714286,0.020042857,0.571428571,80.85714286,1.142857143
curiosity,1.252747253,0.01572467,242.3428571,204.1307692,60.53351648,5.8,271.8571429,0.016474725,0.252197802,37.98901099,1.063186813
curious,1.214285714,0.014438095,211.5833333,189.3690476,47.13095238,5.630952381,242.1309524,0.013664286,0.196428571,112.5119048,1.06547619
curiously,1.071428571,0.014633673,183.9081633,160.255102,45.46938776,1.214285714,206.9387755,0.013588776,0.204081633,27.85714286,0.93877551
curtain,1.714285714,0.021521429,336.4285714,230.8571429,133.9285714,26.07142857,390.8571429,0.023785714,0.142857143,145.6428571,1.285714286
curtains,1,0.010928571,182.3571429,159.7857143,18.28571429,4.285714286,182.3571429,0.009728571,0.214285714,5.285714286,0.857142857
cushion,1.035714286,0.010882143,162.6071429,162.6071429,27.64285714,10.21428571,200.4642857,0.010285714,0.285714286,17.89285714,1.035714286
custody,1.461538462,0.017669231,292.3076923,235.2307692,92.07692308,3.076923077,340.9230769,0.020646154,0.076923077,39.38461538,1.230769231
custom,0.642857143,0.007185714,132.2142857,132.2142857,15.5,0,147.7142857,0.00815,0.642857143,33,0.642857143
customary,1.571428571,0.026214286,234.2857143,163.8571429,79.28571429,16.85714286,311.7857143,0.024028571,0.214285714,61.78571429,1.142857143
cut,0.683150183,0.008015476,137.4258242,130.6282051,21.36355311,1.047619048,153.0393773,0.008267491,0.617216117,20.04761905,0.635531136
cutthroat,2.285714286,0.031242857,221.2857143,200.3571429,129.7142857,68.92857143,422.5,0.0289,0.142857143,29.5,1.785714286
cynic,1.285714286,0.016364286,223.0714286,203.9285714,46.78571429,8.785714286,280.0714286,0.017314286,0.357142857,100.7142857,1.142857143
cynosure,1.928571429,0.022671429,174.5714286,153.0714286,80.07142857,50.42857143,405.7142857,0.022135714,0.285714286,31.57142857,1.071428571
dabbing,1.142857143,0.015192857,142.5,108.7142857,78.85714286,18.35714286,216.6428571,0.013635714,0.428571429,62.64285714,0.928571429
daily,1.142857143,0.013307143,215.5714286,179,25.21428571,17.78571429,222,0.012214286,0.357142857,137,0.928571429
damnable,1.857142857,0.026678571,480.2857143,304.9285714,150.3571429,25,480.2857143,0.031714286,0.071428571,182.9285714,1
damned,1.082417582,0.013323352,209.3736264,202.0796703,27.1456044,16.73076923,245.956044,0.01460989,0.293956044,90.58241758,0.96978022
damning,1.152014652,0.01309707,189.8608059,184.6043956,33.93040293,13.1025641,240.0989011,0.012968498,0.278388278,49.28754579,1.100732601
damp,1,0.010244918,191.7925824,174.8887363,39.64148352,7.826923077,222.3571429,0.011059203,0.317307692,40.84065934,0.942307692
dandy,1.214285714,0.01205,296.3571429,250.6428571,45.71428571,0,296.3571429,0.013978571,0.785714286,41.14285714,1
danger,0.90521978,0.010685852,170.2431319,160.7266484,39.47664835,0,200.2032967,0.01088489,0.417582418,53.75824176,0.850274725
dangerous,1.857142857,0.020621429,365.7142857,247.2142857,83.78571429,59.5,431.6428571,0.022907143,0.142857143,2.714285714,1.142857143
dare,0.936813187,0.011658929,176.9766484,165.8543956,30.55013736,13.0782967,209.4828297,0.012258173,0.513049451,39.48626374,0.861950549
dared,0.923076923,0.009223077,155,142.6153846,42.15384615,15.30769231,200.0769231,0.009130769,0.692307692,11.84615385,0.846153846
dark,0.865384615,0.011189521,169.0792779,158.1864207,25.98469388,8.306122449,195.7884615,0.01216252,0.440737834,54.07653061,0.788854003
darkened,1.214285714,0.017778571,311.5714286,253.5,67.28571429,6.928571429,327.7142857,0.023092857,0.5,0,1
darling,1.785714286,0.018946429,286.6071429,204.5357143,132.2857143,29.78571429,389.2142857,0.019757143,0.178571429,49.35714286,1.357142857
